Title,Author,ABE Search,Stock Image,Number of Copies Found,Highest Price,Median Price,Lowest Price,Date of Search
A City Seen: Cleveland Through the Eyes of [Various Photographers],Various,https://www.abebooks.com/servlet/SearchResults?sts=t&cm_sp=SearchF-_-home-_-Results&tn=A%20City%20Seen:%20Cleveland%20Through%20the%20Eyes,No image found,0,,,,2023-12-08
Louis Kahn,"Louis Kahn, Joseph Rykwert",https://www.abebooks.com/servlet/SearchResults?sts=t&cm_sp=SearchF-_-home-_-Results&tn=Louis%20Kahn,https://pictures.abebooks.com/isbn/9780374279974-us-300.jpg,0,15.28,8.77,2.87,2023-12-08
Clemente,Guggenheim Museum,https://www.abebooks.com/servlet/SearchResults?sts=t&cm_sp=SearchF-_-home-_-Results&an=Guggenheim%20Museum&tn=Clemente,//assets.prod.abebookscdn.com/cdn/com/images/servlets/shared/search/no-image.gif,3,560.0,145.0,45.0,2023-12-08
Mediterranean Photographs,Mimmo Jodice,https://www.abebooks.com/servlet/SearchResults?sts=t&cm_sp=SearchF-_-home-_-Results&ref_=search_f_hp&tn=Mediterranean%20Photographs&an=Mimmo%20Jodice,https://pictures.abebooks.com/isbn/9780893816643-us-300.jpg,6,77.79,37.49,15.0,2023-12-08
Deconstruction,"Andreas Papadakis, Catherine Cooke, Andrew Benjamin","https://www.abebooks.com/servlet/SearchResults?sts=t&cm_sp=SearchF-_-home-_-Results&an=Andreas%20Papadakis,%20Catherine%20Cooke,%20Andrew%20Benjamin&tn=Deconstruction",https://pictures.abebooks.com/inventory/md/md31595156466.jpg,8,145.0,57.5,22.41,2023-12-08
Where Every Breath is a Prayer: A Photographic Pilgrimage into the Spiritual Heart of Asia,Jon Ortner,https://www.abebooks.com/servlet/SearchResults?sts=t&cm_sp=SearchF-_-home-_-Results&an=Jon%20Ortner&tn=Where%20Every%20Breath%20is%20a%20Prayer:%20A%20Photographic%20Pilgrimage%20into%20the%20Spiritual%20Heart%20of%20Asia,https://pictures.abebooks.com/isbn/9781556704390-us-300.jpg,9,40.0,17.09,7.3,2023-12-08
Waves and Plagues: The Art of Masami Teraoka,Masami Teraoka,https://www.abebooks.com/servlet/SearchResults?sts=t&cm_sp=SearchF-_-home-_-Results&an=Masami%20Teraoka&tn=Waves%20and%20Plagues:%20The%20Art%20of,https://pictures.abebooks.com/inventory/md/md31512435953.jpg,11,125.0,22.41,19.38,2023-12-08
Turning Leaves: The Photograph Collections of Two Japanese American Families,Richard Chalfen,https://www.abebooks.com/servlet/SearchResults?sts=t&cm_sp=SearchF-_-home-_-Results&ref_=search_f_hp&tn=Turning%20Leaves:%20The%20Photograph%20Collections%20of%20Two%20Japanese%20American%20Families&an=Richard%20Chalfen,https://pictures.abebooks.com/isbn/9780826312433-us-300.jpg,16,348.8,19.95,4.0,2023-12-08
Japanese American History: An A-to-Z Reference from 1868 to the Present,Japanese American National Museum,https://www.abebooks.com/servlet/SearchResults?sts=t&cm_sp=SearchF-_-home-_-Results&ref_=search_f_hp&tn=Japanese%20American%20History:%20An%20A-to-Z%20Reference%20from%201868%20to%20the%20Present&an=Japanese%20American%20National%20Museum,https://pictures.abebooks.com/isbn/9780816040933-us-300.jpg,19,401.76,16.42,6.6,2023-12-08
An Aerial Journey Through a Timeless Land: Planet Peru,Marilyn Bridges,https://www.abebooks.com/servlet/SearchResults?sts=t&cm_sp=SearchF-_-home-_-Results&ref_=search_f_hp&tn=An%20Aerial%20Journey%20Through%20a%20Timeless%20Land:%20Planet%20Peru&an=Marilyn%20Bridges,https://pictures.abebooks.com/isbn/9780893814694-us-300.jpg,20,74.21,25.0,4.13,2023-12-08
